judul,waktu,isi
"Penanganan Perkara Pencabulan Diduga Lamban, Ibu anak Korban Datangi Unit PPA Polres Lampung Timur","Selasa 11-06-2024,14:23 WIB","
                                                                                        
                                         
                                             
                                                                              - Diiringi Langkah Gontai, dan Tampak Raut kesedihan, Seorang Ibu dan bibi Korban, Senin Siang 10 Juni 2024, mendatangi Kantor Unit Polres Lampung Timur.
 Kedatangan keduanya, selain mendapat Panggilan dari Penyidik  , juga akan mempertanyakan Laporan kasus   yang menimpa Putri Kesayangannya.
 SA, Ibu dari Anak Korban mengatakan, saat ini, tersangka kasus dugaan pencabulan yang dilakukan oleh pelaku terhadap anaknya belum juga di tangkap. Padahal, laporan telah dilakukan sejak 26 Maret 2024 lalu.
 ""Saya tidak tau mas. Kenapa kok belum ditangkap Pelakunya. Padahal sudah 3 bulan lebih Laporannya,"" ungkap SA, sambil merunduk, menutupi rasa kesedihannya.
 
 Menurut RB (Bibi) Korban, Peristiwa itu terjadi sejak Korban masih duduk dibangku Kelas 5 (Lima) Sekolah Dasar, hingga korban meranjak ke bangku kelas 6 (Enam).
 Selang waktu begitu lama, akhirnya pada Awal Maret 2024, Peristiwa itu terkuak dan keluarga korban melaporkan kejadian itu ke Polres Lampung Timur.
 ""Ketahuannya kejadian itu setelah Korban, menceritakan kepada rekannya disekolahnya,"" jelas bibi anak korban.
 Menurutnya, pada saat Korban Bercerita kepada Rekannya, korban sering di beri uang oleh ND terduga pelaku dan diajak berhubungan, sehingga cerita tersebut terdengar oleh salah satu Guru Sekolah.
 
 Kemudian, Ibu Guru Sekolah menanyakan atas cerita itu Kepada anak korban, setelah itu, anak  korban dengan jujur dan polosnya, menceritakan Kepada Ibu Guru, peristiwa yang menimpanya.
 ""Dihari itu juga, sepulang Mengajar, Ibu Guru mendatangi Kediaman anak Korban, dan menceritakan kejadian itu, kepada orang Tua Korban,"" Ungkap BB yang merupakan Bibi korban dengan nada gemetar.
 Hinga akhirnya, Orang Tua Korban,  melaporkan Kasus tersebut ke Polsek  , Lampung Timur, dan dilanjutkan ke Unit PPA Polres Lampung Timur.
 ""Nah, sampai saat ini, ND terduga Pelaku, belum juga ditangkap. ND ini kan Tetangga kami. Kalau Sekarang sudah nggak ada lagi. Ndak tau Kemana. Tapi kalau sepekan dari laporan itu, ada disekitar wilayah Desa di Kecamatan Sekampung Udik,"" terang Bibi anak Korban, dengan nada Sedih.
 Cek Berita dan Artikel yang lain di  
                                "
"Kejari Lamtim Musnahkan BB, Uang Palsu, Daging Rusa, Dadu Koprok, Hinga Ketapel","Rabu 26-06-2024,18:24 WIB","
                                                                                        
                                         
                                             
                                                                              - Kejaksaan Negeri (Kejari) Lampung Timur, Rabu 26 Juni 2024, Memusnahkan Barang Bukti (BB) Kejahatan.
 Dari 46 Perkara, Diantarannya, BB perkara C3 (Curas, Curat, Curanmor),  , BB tindak Pidana Pemburuan Liar, Perkara tindak Pidana Pelindungan anak, Perjudian, dan Kepemilikan Senjata Tajam (Sajam) yang terjadi Periode Maret-Juni 2024.
  Barang Bukti, digelar dihalaman Kantor Kejari itu, selain dihadiri Langsung Kepala  , Agustinus Ba'ka Tandililing, juga tampak hadir Ketua PN Sukadana Robby Alamsyah, Waka Polres Lamtim, Kompol Rafly Nugraha, Inspektur Kabupaten Lamtim Tarmizi, dan Pasi Intel Kodim 0429 /LT, Karutan Sukadana,.serta Perwakikan dari Balai TNWK Lampung Timur.
 Kepala Kejaksaan Negeri (Kajari ) Lampung Timur, Agustinus Ba'ka Tandililing mengatakan, BB dari Perkara Narkotika Jenis Sabu-sabu itu berupa berapa Alat hisap (Bong), sabu seberat 55, 938 gram, Narkotika Jenis Tembakau Sintetis seberat 18,35 gram, Pil Hexymer sebanyak 891 Butir, 16 Lembar uang Palsu (Upal) Pecahan Rp 100.000, Tempurung Dadu Koprok, dan Potongan Daging Rusa,  Ketapel.
 
 ""Semua Barang Bukti (BB) yang dimusnahkan itu, berasal dari 46 Perkara, sejak Maret-Juni 2024, yang sudah mempunyai Kekuatan Hukum Tetap (Inkracht),"" Jelasnya.
 Dia menjelaskan, Pemusnahan BB tersebut, merupakan Wujud dari Kewenangan Jaksa sebagai Eksekutor dalam Pelaksanaan putusan yang telah Inkracht. (*) Cek Berita dan Artikel yang lain di  
                                "
Dawam Raharjo Terancam Tak dapat Perahu PKB dalam Pilkada Lampung Timur,"Jumat 28-06-2024,21:52 WIB","
                                                                                        
                                         
                                             
                                                                              - Menjelang Perebutan Kursi N1 dalam Pilkada Lampung Timur, November 27 mendatang, namun Suasana Politik, diLampung Timur sudah mulai memanas,. 
 Bahkan isu yang berhembus, Incumbent   belum mendapatkan Rekomendasi dari satu pun Partai Pengusung.
 Bahkan, PKB (Partai Kebangkitan Bangsa) yang semula akan kembali menjadi Perahu Politik mengusung Dawam Rahardjo, untuk mempertahankan Kursi BE 1 N, yang kini didudukinya, ternyata berubah haluan.
 Kabar itu merebak saat Ketua DPW PKB Lampung, Chusnunia Chalim telah mempunyai sosok baru berinisial WH yang digadang-gadang akan diusung PKB untuk ikut berkompetisi, melawan Petahana, dalam perebutan Kursi Bupati Lampung Timur.
 
 Bahkan, WH akan maju sebagai Bupati berpasangan antara Noverisman Subing, atau Zakwan Anggota DPRD Lampung Timur dari Partai Gerindra.
 Terkait hal tersebut, Walaupun Belum ada kepastian akan jatuh kemana Rekomendasi itu, namun kabar itu, kini sudah merebak disebagian Masyarakat Lampung Timur.
 Sementara Bupati Lampung Timur, Dawam Rahardjo usai menghadiri Rapat Paripurna DPRD Lampung Timur, tidak mengelak adanya isu tersebut.
 ""Isu itu sudah saya dengar mas, tapi belum pasti, karena Surat Rekomendasi belum keluar mas, tunggu saja,"" ungkapnya.
 
 Diketahui, saat ini, selain ada wajah lama yang akan bertarung, yakni Salah satu Cakada Zaiful Bukhori, Mantan Bupati Lampung Timur Azwar Hadi (Wakil Bupati Lampung Timur) Noverisman Subing (Mantan Wakil Bupati Lampung Timur) yang juga Anggota DPRD Provinsi Lampung, dari PKB, namun ada juga Petarung lain nya yang akan maju, seperti Heri Kusno, pengusaha muda, WH pengusaha muda, Joko Pramono (Anggota DPRD Lampung Timur) dan Tokoh Sukadana KMS Tahir Hanafi, (*) Cek Berita dan Artikel yang lain di  
                                "
Fix! PKB-Nasdem Usung Ela di Pilkada Lampung Timur,"Rabu 03-07-2024,13:45 WIB","
                                                                                        
                                         
                                             
                                                                              - Jelang Kontestasi Perebutan Kursi Kekuasaan di Lampung Timur kian memanas.
 Gonjang-ganjing Bakal Calon Kepala Daerah (Bacakada) untuk mendapatkan Surat Sakti 'Rekomendasi' dari Partai Pengusung sudah nampak.
 Salah satunya Ela Siti Nuryamah, anggota DPR RI dari  , terdengar Santer sudah mendapatkan Rekomendasi dari Nasdem.
 Bahkan, Chusnunia Chalim ( ) Ketua DPW PKB Lampung, akan berkoalisi bersama Nasdem, untuk berlayar bersama Ela, bertarung melawan Pertahana Dawam Rahardjo.
 
 Apabila, Deru dikabarkan Petahana Dawam Rahardjo (Ketua DPC PKB Lampung Timur) harus tidak akan mendapatkan Surat Sakti ' Rekomendasi dari PKB.
 Sementara, dikabarkan saat ini Dawam Rahardjo tidak ada ditempat (Pemkab Lamtim) dan sedang berada di Jakarta untuk mendekati pimpinan salah satu Partai Politik, sebagai mengusung nya dalam kontestasi Pilkada 27 November 2024 mendatang.
 Diketahui kabarnya, Chusnunia Chalim (Mbak Nunik) semula mengadang-gadang Wahyudi, namun ternyata berubah haluan.
 Info berkembang, walaupun belum ada gambaran kemana berlayar nya beberapa Partai Politik untuk mengusung Calonnya, namun kabar angin, PDIP, akan berkoalisi dengan PKS mengusung Zaiful Bukhori, (Mantan Bupati Lampung Timur), Demokrat, Gerindra, belum menentukan siapa sosok yang akan mendapatkan Rekomendasinya.
 
 Sementara kabar saat ini,   akan mengusung   (Wakil Bupati Lampung Timur untuk maju dalam perebutan Kursi N1 Lampung Timur (*) Cek Berita dan Artikel yang lain di  
                                "
Kebakaran! Rumah dan Dua Ruko Milik Warga Lampung Timur Ludes di Lalap Si Jago Merah,"Minggu 07-04-2024,05:24 WIB","
                                                                                        
                                         
                                             
                                                                              - Peristiwa kebakaran terjadi pada Sabtu Malam, 6 April 2024, sekitar Pukul 19.30Wib di Dusun 1, Desa RajaBasa Lama, (Tepatnya di area Pasar Tridatu) Kecamatan Labuhan Ratu, Lampung Timur.
 Akibatnya, satu   milik Muzaini dan 2   berisi sembako hangus dilalap si jago merah.
 Beruntung, tidak ada korban jiwa dalam peristiwa itu. Namun, korban mengalami kerugian materil hingga ratusan juta rupiah.
 Informasi yang dihimpun radarlampung.co.id, saat kebakaran terjadi, warga sekitar berusaha memadamkan   tersebut menggunakan air seadanya.
 
 Tak lama kemudian, mobil   milik TNWK dan milik Pemkab Lampung Timur datang, sehingga api bisa dipadamkan.
 ""Api itu berhasil dipadamkan sekitar pukul 21.00WIB,"" ungkap Iptu Johanes.
 Johanes mengaku belum mengetahui penyebab dari kebakaran tersebut. Sebab, tim inafis Polres Lampung Timur masih melakukan olah TKP (Tempat Kejadian Perkara).
 
 ""Masih didalami penyebab kebakarannya. Tapi yang pasti, tidak ada korban jiwa dalam kebakaran ini,"" pungkasnya. (*) Cek Berita dan Artikel yang lain di  
                                "
Mayat Pria Tanpa Identitas Ditemukan Terapung di Saluran Irigasi Desa Adirejo Lampung Timur,"Senin 29-01-2024,12:01 WIB","
                                                                                        
                                         
                                             
                                                                              - Warga Kecamatan Pekalongan Lampung Timur menemukan   laki-laki  , Senin 29 Junuari 2024.
 Kapolres Lampung Timur AKBP M.Rizal Muchtar menjelaskan, mayat lelaki yang diperkirakan berusia 25 tahun itu ditemukan warga terapung di saluran irigasi Dusun V Desa Adirejo Kecamatan Pekalongan, pukul 07.30 Wib.
 Dilanjutkan, sebelumnya sejumlah warga sempat melihat mayat tersebut di saluran irigasi di wilayah Kelurahan Yosodadi Kecamatan Metro Timur.
 Kemudian terbawa arus hingga ke wilayah Desa Adirejo Kecamatan Pekalongan. Warga  kemudian memasang sebatang bambu untuk mencegah mayat semakin jauh terbawa arus air irigasi.
 
 Penemuan mayat tersebut, selanjutnya dilaporkan ke Polsek Pekalongan. Mendapat laporan tersebut, Kapolsek Pekalongan AKP Yugo Laksono bersama Kasat Reskrim Iptu Johanes EP Sihombing dan personil gabungan meluncur ke lokasi untuk mengevakuasi mayat tersebut.
 Saat ditemukan  lelaki yang mengenakan kaus hitam dan celana coklat sudah dalam kondisi tidak bernyawa.
 Personil Polres Lamtim dan Polsek Pekalongan kemudian mengevakuasi mayat tersebut ke Rumah Sakit Umum Daerah Sukadana guna dilakukan visum.
 
 ""Saat ini kami masih berusaha menyelidiki identitas dan penyebab kematian mayat tersebut,""jelas Kapolres. (*) Cek Berita dan Artikel yang lain di  
                                "
"Terungkap! Identitas Mayat Terapung di Salurang Irigasi Lampung Timur, Ternyata...","Senin 29-01-2024,13:35 WIB","
                                                                                        
                                         
                                             
                                                                              -   lelaki yang ditemukan di saluran irigasi Desa Adirejo Kecamatan Pekalongan Lampung Timur terungkap.
 Kapolres Lampung Timur AKBP M Rizal Muchtar, didampingi Kasat Reskrim Iptu Johanes EP Sihombing menjelaskan, berdasarkan hasil penyelidikan dan informasi yang dihimpun.
 Mayat lelaki tersebut diketahui bernama Helnadi Dahrunsyah Yakub (19) warga Kelurahan Hadimulyo Barat Kota  .
 ""Penyebab kematian korban masih dalam proses penyidikan,""jelas Kapolres.
 
 Diberitakan sebelumnya, warga Kecamatan Pekalongan Lampung Timur menemukan mayat laki-laki tanpa identitas, Senin 29 Junuari 2024.
 Kapolres Lampung Timur AKBP M.Rizal Muchtar didampingi Kasat Reskrim Iptu Johanes EP Sihombing dan Kapolsek Pekalongan AKP Yugo Laksono menjelaskan, mayat lelaki yang diperkirakan berusia 25 tahun itu ditemukan warga   di saluran irigasi Dusun V Desa Adirejo Kecamatan Pekalongan, pukul 07.30 Wib. 
 Dilanjutkan, sebelumnya sejumlah warga sempat melihat mayat tersebut di saluran irigasi di wilayah Kelurahan Yosodadi Kecamatan Metro Timur.
 Kemudian terbawa arus hingga ke wilayah Desa Adirejo Kecamatan Pekalongan. Warga  kemudian memasang sebatang bambu untuk mencegah mayat semakin jauh terbawa arus air irigasi. 
 
 Penemuan mayat tersebut, selanjutnya dilaporkan ke Polsek Pekalongan. Mendapat laporan tersebut, Kapolsek Pekalongan AKP Yugo Laksono bersama Kasat Reskrim Iptu Johanes EP Sihombing dan personil gabungan meluncur ke lokasi untuk mengevakuasi mayat tersebut.
 Saat ditemukan  lelaki yang mengenakan kaus hitam dan celana coklat sudah dalam kondisi tidak bernyawa.
 Personil Polres   dan Polsek Pekalongan kemudian mengevakuasi mayat tersebut ke Rumah Sakit Umum Daerah Sukadana guna dilakukan visum.
 
 Cek Berita dan Artikel yang lain di  
                                "
"Musim Hujan, Lampung Timur Gelar Apel Kesiapsiagaan Bencana","Rabu 31-01-2024,10:30 WIB","
                                                                                        
                                         
                                             
                                                                              - Bencana alam dapat terjadi kapan saja dan di mana saja. Terlebih di musim penghujan, potensi terjadinya bencana alam cenderung meningkat.
 Demikian disampaikan Bupati Lampung Timur M.Dawam Rahardjo saat memimpin apel    penanggulangan bencana, Rabu 31 Januari 2024.
 Menurutnya, berdasarkan data yang ada di   Kabupaten Lampung Timur, dalam dua tahun terakhir tercatat ada 17 kejadian banjir dan 44 angin puting beliung.
 Kemudian, 69 kebakaran pemukiman serta 65 kebakaran hutan dan lahan yang menyebabkan kerugian besar, serta beberapa rumah mengalami kerusakan.
 
 Dilanjutkan, dengan semakin meningkatnya intensitas bencana terutama di Lampung Timur tersebut.
 Maka perlu kesiapsiagaan penanggulangan bencana secara komprehensif, lintas sektor, terpadu dan terkoordinasi, atara pemerintah pusat, daerah, masyarakat, akademisi dan insan pers.
 ""Itu dalam rangka menjadikan Lampung Timur Kabupaten tangguh bencana,"" jelas M.Dawam dalam apel yang juga dihadiri Kapolres Lampung Timur AKBP M.Rizal Muchtar dan jajaran Forkopimda.
 Lebih lanjut dijelaskan, pada awal tahun 2024 ini, pemerintah pusat melalui Badan Nasional Penanggulangan Bencana  (BNPB), sudah memperingatkan tiap daerah, agar bersiap menghadapi bencana hidrometerologi.
 
 Antara lain, berupa banjir rob, banjir, tanah longsong dan puting beliung yang diperkirakan puncaknya pada akhir Februari 2024.
 ""Ketidakpastian bencana hidrometeorologi tersebut, maka memerlukan peringatan dini, yang efektif dan respons cepat,""lanjut M.Dawam.
 Masih menurut M.Dawam guna mengantisipasi terjadinya bencana dan dampaknya, perlu adanya koordinasi dan kolaborasi antar lini, dalam proses pengurangan risiko bencana di Kabupaten Lampung Timur.
 ""Pada hakikatnya bencana merupakan urusan bersama untuk kemanusiaan,""kata M.Dawam.
 Cek Berita dan Artikel yang lain di  
                                "
"Beli HP Curian, Warga Labuhan Ratu Lampung Timur Masuk Bui","Kamis 01-02-2024,18:03 WIB","
                                                                                        
                                         
                                             
                                                                              -   Lampung Timur mengungkap kasus   dengan pemberatan (curat).
 Dari ungkap kasus itu, Polsek Labuhan Ratu mengamankan RS (38) warga Kecamatan Labuhan Ratu.
 Kapolres Lampung Timur AKBP M Rizal Muchtar didampingi Kapolsek Labuhan Ratu Iptu Sukaryadi, RS diamankan karena disangka menggunakan telepon genggam (HP) milik Cintya Ratnasari (29) warga Kecamatan Labuhan Ratu.
 Menurutnya, HP milik Cintya diketahui telah dicuri, Minggu 3 Desember 2023 lalu.
 
 Peristiwa pencurian tersebut, diduga diawali pelaku dengan cara mencongkel jendela. Kemudian masuk ke dalam rumah dan mengambil HP merek Oppo A58 milik korban.
 Kejadian itu kemudian dilaporkan korban ke Polsek Labuhan Ratu. Berdasarkan laporan korban dan hasil penyelidikan.
 Petugas Polsek Labuhan Ratu  berhasil mendeteksi keberadaan HP korban berada di tangan RS.
 Petugas langsung mengamankan RS berikut barang bukti HP milik korban. Kepada petugas tersangka mengaku membeli HP tersebut dari seseorang yang baru dikenalnya melalui media sosial.
 
 ""Tersangka kami amankan di Polsek Labuhan Ratu guna penyidikan lebih lanjut,""jelas Kapolres, Kamis 1 Februari 2024.
 Diberitakan sebelumnya, berhati-hati dan telitilah saat membeli barang.
 Itu untuk mencegah permasalahan hukum di kemudian hari. Terutama, bila barang yang dibeli ternyata hasil pencurian.
 Itu sebagaimana menimpa YP (23) warga Kota Metro yang diamankan Sat Reskrim Polres Lampung Timur.
 Cek Berita dan Artikel yang lain di  
                                "
"Gajah Ngamuk, Petani Nyaris Tewas","Minggu 17-03-2024,15:10 WIB","
                                                                                        
                                         
                                             
                                                                              – Seorang   di kawasan penyangga Taman Nasional  , Kabupaten Lampung Timur (Lamtim), Provinsi Lampung nyaris tewas setelah menjadi korban amukan gajah. 
 Korban adalah Zakaria, warga Desa Muara Yaya, Kecamatan Sukadana, Lamtim.  Sekujur tubuhnya seperti remuk,  babak belur “disiksa dan dihajar” rombongan liar gajah dari TNWK.
 ”Allah masih melindungi kita,” kata Budiono. 
 Rekan korban ini menjadi saksi mata  peristiwa yang terjadi sekira pukul 23.00 Waktu Indonesia Barat (WIB) pada Sabtu 16 Maret 2024, tepatnya di area perladangan  Desa Tamba Dadi, Kecamatan Purbolinggo, Lamtim.
 
 Saat peristiwa malam kemarin, para petani memang punya jadwal ronda untuk menjaga area perkebunan dan persawahan dari gangguan satwa liar bertubuh raksasa itu.
 Saat warga sedang melakukan patroli, tiba-tiba muncul rombongan kawanan gajah Sumatra liar dari Kawasan Taman Nasional Way  Kambas (TNWK).
 Sedikitnya 12 ekor satwa dengan nama latin Elephas Maximus Sumatranus mulai keluar dari kawasan menuju arena pertanian milik warga. 
 Saat itu, secara spontan warga dan termasuk Zakaria ikut bersama rombongan peronda mencoba menghalau rombongan gajah liar.
 
 ”Ketika kawanan gajah lain berhasil dihalau masuk kawasan, dan sudah kembali. Namun naas  ada seekor gajah tertinggal terpergok oleh Zakaria. Sontak   dan mulai menyerang korban,” jelas dia.
 Selain menendang tubuh korban. Gajah sempat terlihat melilitkan belalai ke tubuh pria berusia 43 tahun itu. Korban sudah tak memiliki daya upaya, selain pasrah kepada Allah semata. 
 Pertolongan dari Allah hadir seketika, di saat gajah dewasa itu hendak menginjak dada korban untuk mengakhiri pertikaian itu. Dari kejauhan ada rekan korban melemparkan senter dalam kondisi menyala  ke arah kepala gajah.
 ”Anehnya walaupun gajah itu sempat menoleh ke arah warga, namun ahirnya gajah itu pergi,”jelas Budi.
 Cek Berita dan Artikel yang lain di  
                                "
"Jatuh dan Terinjak, Seorang Pawang Gajah Meninggal Dunia","Rabu 20-03-2024,05:18 WIB","
                                                                                        
                                         
                                             
                                                                              - Peristiwa tragis dialami Ferdian (23), warga Desa Rajabasa Lama, Kecamatan Labuhan Ratu Lampung Timur, yang dikabarkan meninggal dunia pada Selasa, 19 Maret 2024 akibat terinjak gajak.
 Tercatat, peristiwa ini belum genap sepekan, setelah warga Muara Jaya, Kecamatan Sukadana, Lampung Timur, nyaris tewas dianiaya   liar dari Kawasan Taman Nasional Way Kambas ( ) Lampung Timur. 
 Korban yang berkerja di   ( ) sekitar Pukul 11.00 WIB tewas setelah terjatuh dari gajah tunggangannya. Peristiwa ini terjadi di Resort Penet. 
 Berdasarkan keterangan yang berhasil dihimpun dari beberapa sumber, peristiwa itu terjadi ketika korban bersama rekannya sedang angon gajah jinak milik Balai TNWK. Tiba-tiba, korban terjatuh dari gajah tunggangan dan terinjak.
 
 Beberapa rekan korban yang mendapatkan kabar itu langsung mendatangi tempat kejadian dan mengevakuasi korban untuk dilarikan ke Rumah Sakit Permata Hati.
 Dalam perjalanan korban masih sempat berbincang dengan rekannya, bahkan sampai di rumah sakit korban masih dapat berbincang dengan perawat.
 Namun baru menjalani perawatan, beberapa saat sekitar pukul 15.05 WIB korban dinyatakan meninggal dunia. ""Kami syok dan langsung menghubungi keluarga korban,"" jelas Sulis, rekan korban.
 Dari hasil pemeriksaan medis, korban mengalami luka bagian bahu kanan patah dan tulang rusuk kanan patah. 
 
 Pukul 16.00 WIB kediaman Ferdian dipenuhi pelayat. Tangisan histeris pecah dari keluarga korban ketika beberapa pelayat sedang membacakan doa untuk almarhum. 
 Beberapa rekan korban dan pegawai Balai TNWK tampak terlihat melayat di rumah duka.
 Sementara itu, Plt. Balai TNWK Hermawan saat dimintai keterangan di rumah duka belum bisa memberi penjelasan.
 ""Maaf mas, saya belum dapat memberikan keterangan, saya masih berduka,"" kata Hermawan.  Cek Berita dan Artikel yang lain di  
                                "
Seram! Tulang Kerangka dan Tengkorak Kepala Manusia Ditemukan Berserakan di Pinggir Kali,"Kamis 28-03-2024,14:30 WIB","
                                                                                        
                                         
                                             
                                                                              - Menyeramkan, sesosok   yang sudah berbentuk   dan Kerangka Manusia di petang kemarin ditemukan warga dalam kondisi berserakan dipinggir Sungai.
 KBO Satreskrim Polres Lampung Timur (Lamtim), Ipda Sunarso mengatakan, adanya temuan   yang menyerupai Kerangka dan Tengkorak Kepala itu, berawal dari seorang Warga Desa yang hendak mencari Rumput untuk Pakan Ternak pada Rabu 27 Maret 2024.
 ""Saat tiba di dekat aliran sungai way Penet, Saksi melihat adanya Tulang belulang yang mirip dengan organ Kerangka Manusia dan juga Tengkorak Kepala yang berserakan di Rerumputan,"" ungkap Ipda Sunarso Reskrim, mewakili Kasat Reskrim Polres Lampung Timur, Iptu Johanes, Kamis 28 Maret 2024.
 Setelah itu, sambung Sunarso, saksi melaporkan kejadian itu ke Pamong setempat, dan kemudian dilaporkan ke Polsek Labuhan Ratu Lampung Timur.
 
 ""Setelah Mendapat Laporan, sekitar pukul 21.00 Wib, Tim Inafis Polres Lampung Timur, tiba di lokasi untuk melakukan Olah Tempat Kejadian Perkara (TKP) di area pinggir sungai Way Penet, Desa Labuhan Ratu, Lampung Timur,"" ucapnya.
 Setelah melakukan Olah TKP (Tempat Kejadian Perkara), Tulang Belulang serta Tengkorak Kepala itu di bawa ke Rumah Sakit Umum Sukadana untuk di lakukan Pemeriksaan lebih lanjut.
 Ipda Sunarso menambahkan, saat ini, belum dapat memastikan penyebab dan ciri identitas, atas Temuan Kerangka Tulang Belulang dan Tengkorak Kepala Manusia itu.
 
 ""Saat ini,   yang sudah menjadi Kerangka tulang danTengkorak itu masih tersimpan di Ruang Mayat Rumah Sakit Umum Sukadana Lampung Timur,"" pungkas Ipda Sunarso. (*) Cek Berita dan Artikel yang lain di  
                                "
"Tilep Dana Desa Rp 600 Juta, Oknum Kades di Lampung Timur Diringkus Polisi","Rabu 03-04-2024,22:46 WIB","
                                                                                        
                                         
                                             
                                                                              - Kabur, agar lepas dari tanggung jawab, seorang Oknum Kepala Desa Marga Bathin, Kecamatan Waway Karya, Lampung Timur, akhirnya malam kemarin (02/04/2024 ) berhasil di jemput Satuan Unit Tipikor Polres Lampung Timur.
 Dikatakan oleh Kanit Tipikor Ipda Medy, mewakili Kasat Reskrim Polres Lampung Timur Iptu Johanes, bahwa pelaku Taryanto kini sudah di tahan di Polres  .
 Ipda Meidy Hariyanto menjelaskan, Penangkapan   itu, berawal dari laporan Masyarakat pada Bulan April tahun 2023 silam, terkait ada nya dugaan Penyimpangan   (DD) tahun 2022.
 
 Berdasarkan laporan Polisi itu, Satu unit Tipikor melakukan Penyidikan, dan dilanjutkan ke tingkat Penyelidikan, namun pada bulan Januari 2024, saat terduga dilalukan Pemangilan sebagai saksi, Oknum Kades Marga Bathin itu, tidak datang, jelas Ipda Meidy, 
 Ipda Meidy mengatakan, setelah dua kali dipanggil sebagai saksi tidak juga hadir petugas melakukan Pencarian, dari hasil keterangan beberapa warga Desa Marga Bathin,Terduga sudah meningalkan Desa nya sejak Desember 2022 silam, 
 Dari informasi itu, Penyidik melakukan Pencarian dan di dapati, sedang berada di pulau Jawa. Hingga akhirnya pada Selasa (02/04/2024) sat Unit Tipikor melakukan upaya paksa menjemput Taryanto, Oknum kades itu, dipersembunyian di Wilayah Duren sawit, Jakarta Timur, untuk dilakukan proses pemeriksaan sebagai saksi, imbuh Kanit Tipikor Polres Lampung Timur.
 
 ""Setelah dilakukan Pemeriksaan sebagai saksi Oknum Kades itu ditetapkan status menjadi tersangka,"" terang Ipda Meidy.
 Modus tersangka, setelah melakukan pencairan, bersama Bendahara Desa, diBank Lampung, wilayah Tanjung Bintang, Lampung Selatan. ""Kemudian uang itu, di kuasai oleh tersangka, dan digunakan untuk kepentingan pribadi,"" kata Ipda Meidy.
 Dari hasil Audit Ditemukan ada Kerugian Keuangan Negara Rp 600.000.000, dari Total anggaran Dana Desa tahun 2022, sebesar 1,3 Milyar Rupiah. (*) Cek Berita dan Artikel yang lain di  
                                "
"Soal Video Viral Guru SD di Tulang Bawang Lampung Diduga Nyabu, Ini Kata Polisi","Kamis 04-04-2024,15:33 WIB","
                                                                                        
                                         
                                             
                                                                              – Sebuah video viral di jagat maya, diduga seorang Kepala Sekolah Dasar (SD) Negeri di Kabupaten  , Provinsi Lampung sedang mengonsumsi   –  .
 Dalam video dengan durasi sepanjang 1 menit 27 detik itu menunjukan lokasi pengambilan gambar di sebuah kamar.
 Seseorang secara diam – diam merekam aksi kepala sekolah berada di ujung tempat tidur sedang membakar dan menghisap sabu – sabu.
 Setelah sekian detik menghisap narkoba itu, sang kepsek ini menghembuskan gumpalan asap yang sangat banyak. 
 
 Diduga memang narkoba yang sedang dikonsumsi itu adalah sabu – sabu. Pertama adanya bong yakni sebuah alat berasal dari botol plastik berisi air yang dirakit sedemikian rupa ada pipa kaca dan pipet yang disambung untuk menghisap.
 Tim radar lampung media group sudah mencoba mengkonfirmasi Kasatres Narkoba Polres Tulang Bawang AKP Indik Rusmono.
 Meski belum membenarkan atau menyangkal, namun pihak kepolisian masih akan mendalami beredarnya video seseorang tengah mengonsomsi sabu – sabu. Termasuk memastikan apakah video tersebut merupakan dokumen baru atau lama.
 ”Masih kita dalami,” ujar Kasatres Narkoba Polres Tulang Bawang. 
 
 Sebelumnya Viral Kades Di   Juga Nyabu 
 Sebuah video beredar aksi diduga salah seorang kepala desa di Kecamatan Gedung Meneng, Kabupaten Tulangbawang, Provinsi Lampung sedang mengonsumsi narkoba. 
 Dalam video dengan durasi 15 detik itu, nampak OI sedang meracik sabu sabu yang hendak dimasukan ke dalam alat hisap. 
 Si perekam gambar adalah rekan kades yang duduk di hadapanya. Atas peristiwa ini, jajaran Polres Tuba langsung melakukan penyelidikan. Mulai pemeriksaan TKP, memintai keterangan hingga tes urin dengan keterangan negatif. Oleh kades dinyatakan jika video itu merupakan rekaman lama tahun 2013. 
 Cek Berita dan Artikel yang lain di  
                                "
